Date,Location,Start_time,End_time,Conditions,Trappers,Trap_zone,Species,Total_wt_g,Bag_wt_g,Sq_wt_g,Sex,Age,Pit_tag_num,Ear_tag_num,Fur_dye,Second_fur_dye,Freeze_brand,Second_freeze_brand,Comments
6-Sep-10,SLU Campus,2:23 PM,3:30 PM,"Cloudy, cool",Whole class,E,SCCA,860,NA,NA,M,Adult,NA,R001,right hip,NA,right hip,NA,slightly scrotal
6-Sep-10,SLU Campus,2:23 PM,3:30 PM,"Cloudy, cool",Whole class,F,SCCA,NA,NA,NA,M,Adult,NA,NA,right hip,NA,right back leg,NA,"missing tip of tail, slightly scrotal, right hip was marked in two patches"
6-Sep-10,SLU Campus,2:23 PM,3:30 PM,"Cloudy, cool",Whole class,B,SCCA,800,NA,NA,M,Adult,NA,R002,center rump,NA,left leg,NA,slightly scrotal
6-Sep-10,SLU Campus,2:23 PM,3:30 PM,"Cloudy, cool",Whole class,B,SCCA,700,NA,NA,M,Adult,NA,R003,left leg,NA,left middle,NA,slightly scrotal
6-Sep-10,SLU Campus,2:23 PM,3:30 PM,"Cloudy, cool",Whole class,B,SCCA,780,NA,NA,M,Adult,NA,R004,left middle,NA,right middle,NA,slightly scrotal
8-Sep-10,NA,7:30 AM,9:10 AM,"Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,950,NA,NA,F,Adult,NA,L005,back middle,NA,left hip,NA,nipples well developed and large
8-Sep-10,NA,7:30 AM,9:10 AM," Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,750,NA,NA,F,Adult,NA,L007,left hip,NA,center rump,NA,nipples not developed
8-Sep-10,NA,7:30 AM,9:10 AM,"Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,730,NA,NA,M,Adult,NA,R008,left hip,NA,left hip,NA,"tiny, scrotal "
8-Sep-10,NA,7:30 AM,9:10 AM,"Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,710,NA,NA,M,Sub adult,NA,NA,right middle,NA,right shoulder,NA,"escaped, sub adult "
8-Sep-10,NA,7:30 AM,9:10 AM,"Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,730,NA,NA,F,NA,NA,NA,NA,NA,right hip,NA,escaped during freeze branding 
8-Sep-10,NA,7:30 AM,9:10 AM,"Cool, about 65 degrees, partly cloudy","Erin, Hannah, Leah, Abbie",C,SCCA,790,NA,NA,F,Adult,NA,L009,right hip,NA,right leg,NA,nipples large
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,800,NA,NA,F,Adult,NA,L018,left middle ,NA,right hip,NA,"well developed nipples, fur dye on left middle to center rump"
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,790,NA,NA,M,Adult,NA,R011,right hip,NA,right leg,NA,"caught earlier, half tail"
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,870,NA,NA,F,Adult,NA,NA,right let,NA,center shoulder,NA,"well developed nipples, escaped "
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,NA,NA,NA,F,Adult,NA,L009,right leg,NA,right hip,NA,released
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,710,NA,NA,M,Adult,NA,R012,center hip,center rump,center middle,right hip,semi-scrotal
10-Sep-10,Front of JHS,1:30 PM,3:10 PM,"Cloudy, 70 degrees F","Andrew S., Janet S., Eddie",C,SCCA,750,NA,NA,F,Adult,NA,L013,center shoulder,NA,center rump,center middle,nipples small
1-Oct-10,Campus,1:30 PM,4:00 PM,"Cloudy, 60 degrees F","Malthus, Lizzy, Amanda, ELB",A9,SCCA,NA,NA,NA,NA,NA,NA,R011,NA,NA,NA,NA,R011 - recap; released 
1-Oct-10,Campus,1:30 PM,4:00 PM,"Cloudy, 60 degrees F","Malthus, Lizzy, Amanda, ELB",A10,SCCA,760,NA,NA,F,NA,NA,L014,left leg,right leg,left leg,NA,closer to right hip
